6301382,1331287,2816895,4232327,6229441,
2942287,1325012,2138451,3832426,6836721,
1054360,1267540,2751014,3795160,5935306,
983947,1391985,2452009,3834788,7006239,
1006218,1363190,3022446,4191358,5868531,
901603,1359001,2859398,3819311,5886698,
1164867,1359763,2134746,3887434,6035034,
415068,1287148,2108340,3991483,5934366,
340192,1241117,2189884,4456900,5904161,
349054,1240327,2359020,4168532,6420177,
344079,1363455,2664272,4046534,5989190,
351414,6566193,3201378,5364849,5955860,
344595,1300791,3267502,5351523,6693557,
347944,1330267,3119079,5193227,8014407,
346171,1334830,3234886,3797100,9102003,
351614,1327346,3296803,3845848,9051019,
362130,1355687,3330035,3866758,9216833,
348105,1360247,3300947,5678097,8894695,
342619,1346365,3321210,4445495,6406640,
345787,1357960,3076510,3775817,7467821,
341802,1315446,2133359,3780704,9079401,
345418,1353940,2133705,3758164,9331271,
347839,1348651,2124115,3800327,6723175,
345777,1162642,2258356,4018280,6047308,
349014,945602,2863182,3790327,5986299,
348025,961849,2646279,3782956,5996933,
353857,940505,2741725,3759962,8966929,
349238,1269086,3029924,3764590,6781581,
346773,1370925,3105812,3752701,5915219,
348829,968596,2172778,3785305,7265937,
348518,955879,2531798,3780941,8204254,
349637,953166,3101374,3766546,7848215,
343707,942581,3058268,3768422,7709675,
348003,939733,3285735,4158169,7612733,
362357,962447,3205779,3792278,8133101,
308118,959527,3138465,4036642,7862816,
314449,949513,3259051,5390371,9630338,
317982,961767,3030493,5193046,8135588,
340196,1328407,3161710,3814963,9094578,
363706,1011700,2769774,3955402,8741919,
319890,949048,2296828,5667660,6489656,
340862,972025,2191721,5322354,8497487,
342180,957799,2336060,3896485,8587932,
362205,955690,3354763,3838719,9081270,
363422,961399,3182153,3792889,8374400,
346151,948897,3183214,3796481,8263059,
342886,964613,3338979,4136857,8514309,
339897,961103,3296141,4508361,8912269,
352390,968423,3313518,5752111,8926114,
346837,953691,3337939,4641487,6136861,
