1522190,571541,127828,168852,342135,
5575098,548043,103267,162503,346451,
267921,537729,102944,163444,328539,
239785,521348,103017,162954,335412,
256226,535309,103025,161050,330327,
253264,556490,103062,154911,350759,
253851,546531,103352,159367,363259,
257964,554542,103334,155921,331690,
258629,556867,102989,156827,321933,
248045,558372,102982,161720,334407,
258445,558402,103470,211411,345145,
257519,544738,364831,216541,352418,
251071,569044,190928,229385,350496,
258463,522192,189804,226281,340277,
275777,598833,182500,231611,351911,
250589,521770,174101,283770,351469,
251913,516847,184047,226954,350897,
253368,497525,205542,212409,362264,
251207,486529,110595,308114,349611,
244250,519584,317098,223682,344885,
253827,535737,188297,380534,331801,
255146,539762,190273,232854,329022,
257287,270400,169611,279477,336010,
251941,68398,159517,258096,340657,
257151,66042,214194,262070,338716,
253497,74619,192160,272790,336527,
253127,65679,206876,265761,334904,
242083,69349,213449,267152,332645,
248096,79963,177373,270657,334989,
256498,65948,173128,266017,343029,
264759,66535,162284,289171,194025,
255547,66608,171451,268488,189547,
253448,67511,173889,270676,183035,
242113,67691,180630,259127,182144,
251002,108812,180498,251396,182682,
255420,120937,179715,253764,182384,
250586,121174,179606,254141,181995,
250417,124032,180564,252891,181844,
243754,118901,181031,276890,181611,
256599,93414,182490,319414,181505,
251476,66950,181168,282055,191264,
251278,66669,191854,283100,182352,
252936,66957,160220,282581,181747,
253277,85794,157721,282045,182186,
241701,95258,165288,257749,182182,
202794,100926,180042,267823,182113,
248804,105507,232420,255287,183627,
244116,112547,163897,263674,182960,
256433,119712,172029,247573,183025,
253316,111496,170593,249577,183919,
